,name,seed_everything,test_prompt_length,max_pred_length,lr,adversarial_training,max_length,batch_size,model,dim_model,num_heads,dim_feedforward,num_decoder_layers,dropout_p,layer_norm_eps,lstm_embedding_dim,lstm_hidden_dim,lstm_num_layers,lstm_dropout,linear_embedding_dim,linear_bias,linear_dim,mamba_d_model,mamba_d_state,mamba_d_conv,mamba_n_layers,min_train_loss,min_train_loss_step,max_val_accuracy,max_val_accuracy_step,min_val_loss,min_val_loss_step,min_val_kl,min_val_kl_step,rule_1_accuracy4min_val_loss,rule_2_accuracy4min_val_loss,grammatical_accuracy4min_val_loss,finished4min_val_loss,ood_rule_1_accuracy4min_val_loss,ood_rule_2_completion_accuracy4min_val_loss,ood_rule_2_accuracy4min_val_loss,ood_grammatical_accuracy4min_val_loss,ood_finished4min_val_loss,sos_rule_1_accuracy4min_val_loss,sos_rule_2_accuracy4min_val_loss,sos_grammatical_accuracy4min_val_loss,sos_finished4min_val_loss
0,rose-sweep-24,98186,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.1996445655822754,248,0.8599677681922913,12,0.248432457447052,8,0.2105259746313095,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
1,vague-sweep-23,67650,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,4.339205883496788e-09,498,0.19832958281040192,20,1.2332199811935425,0,1.1953134536743164,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
2,lucky-sweep-25,25869,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.016212234273552895,238,0.8361502885818481,1,0.28618431091308594,0,0.24827779829502106,0,0.8984375,0.7578125,0.7265625,1.0,0.9026548862457275,0.8515625,0,0,1.0,1.0,1.0,1.0,1.0
3,toasty-sweep-19,77895,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.016338706016540527,285,0.8671191334724426,5,0.23389257490634918,0,0.1959860920906067,0,0.96875,0.9296875,0.7734375,1.0,0.90625,0.78125,0,0,1.0,1.0,1.0,1.0,1.0
4,swept-sweep-22,61913,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.024144843220710754,475,0.8454219102859497,7,0.2643299698829651,6,0.2264234721660614,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
5,pretty-sweep-17,77135,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01701998896896839,448,0.8479906320571899,3,0.26512598991394043,3,0.22721949219703674,3,1.0,1.0,1.0,1.0,0.4363636374473572,1.0,0,0,0.9765625,1.0,1.0,1.0,1.0
6,faithful-sweep-21,32214,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.019067002460360527,368,0.8169078826904297,4,0.34487950801849365,4,0.30697301030158997,4,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
7,expert-sweep-20,175,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01667448692023754,458,0.8468583226203918,1,0.2653246521949768,1,0.22741816937923431,1,0.7159090638160706,0.609375,0.3984375,1.0,0.7326732873916626,0.6484375,0,0,1.0,1.0,1.0,1.0,1.0
8,charmed-sweep-18,87834,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.2049713432788849,106,0.8535687923431396,22,0.26285573840141296,13,0.22494927048683167,13,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
9,visionary-sweep-18,97269,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.19670987129211426,492,0.8432332277297974,11,0.27765196561813354,8,0.23974546790122986,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
10,ethereal-sweep-16,92921,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.019513314589858055,496,0.8266810178756714,8,0.3349217474460602,4,0.2970152497291565,4,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
11,solar-sweep-15,20192,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.016197988763451576,467,0.8266050815582275,4,0.29323577880859375,4,0.25532931089401245,4,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
12,hearty-sweep-13,31345,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01982351765036583,497,0.8589114546775818,7,0.24677520990371704,6,0.20886871218681335,6,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
13,fallen-sweep-12,76171,8,300,0.002,False,256,128,transformer,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.16874165832996368,290,0.8455283641815186,12,0.27790313959121704,8,0.23999664187431335,8,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
14,efficient-sweep-11,45329,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.015553446486592293,392,0.8454827666282654,0,0.2680220603942871,0,0.23011556267738342,0,0.7272727489471436,0.934959352016449,0.7070707082748413,1.0,0.8214285969734192,0.7539682388305664,0,0,1.0,1.0,1.0,1.0,1.0
15,autumn-sweep-10,12188,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,4.342305626181542e-09,498,0.18610164523124695,24,1.0933663845062256,0,1.0554598569869995,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
16,fresh-sweep-9,54708,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01631595566868782,461,0.8352687358856201,2,0.2872743010520935,2,0.249367818236351,2,1.0,1.0,1.0,1.0,0.9747899174690247,0.9411764740943909,0,0,1.0,1.0,1.0,1.0,1.0
17,lunar-sweep-6,33806,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.016360748559236526,158,0.8481654524803162,1,0.2694758474826813,0,0.23156936466693878,0,0.8203125,0.8046875,0.75,1.0,0.875,0.734375,0,0,1.0,1.0,1.0,1.0,1.0
18,playful-sweep-8,86335,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,5.288293802863109e-09,497,0.1741929054260254,25,1.1386072635650635,0,1.1007006168365479,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
19,quiet-sweep-7,44021,8,300,0.002,False,256,128,linear,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,3.4747655863753835e-09,498,0.19597367942333221,23,1.0040680170059204,0,0.9661616086959839,0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0
20,rich-sweep-3,93868,8,300,0.002,False,256,128,lstm,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.01680314913392067,363,0.842093288898468,3,0.27679622173309326,2,0.23888972401618958,2,1.0,1.0,0.9921875,1.0,1.0,0.9296875,0,0,1.0,1.0,1.0,1.0,1.0
21,balmy-sweep-5,8705,8,300,0.002,False,256,128,mamba,10,5,1024,7,0.1,0.006,10,64,5,0.4,10,True,256,32,16,8,10,0.016519472002983093,393,0.8500425219535828,1,0.2635824978351593,0,0.225676029920578,0,0.734375,1.0,0.625,1.0,0.7200000286102295,0.4959999918937683,0,0,1.0,1.0,1.0,1.0,1.0
